keep_ratio,neurons_kept_pct,hidden_shape,params_M,model_MB,f1_macro,median_ms,p95_ms,throughput_sps
1.0,100.0,"[512, 256, 128]",0.182087,0.6946067810058594,0.9704434159333729,5.588834999798564,6.382156048857723,364643.9968494014
0.9,89.95535714285714,"[461, 230, 115]",0.148927,0.5681114196777344,0.9664404087630197,4.423889500685618,5.475210949225584,452516.1982485998
0.8,80.02232142857143,"[410, 205, 102]",0.119608,0.456268310546875,0.9632698684451695,4.264458499164903,5.0415333003911655,484611.0135186621
0.7,69.97767857142857,"[358, 179, 90]",0.093014,0.35482025146484375,0.9572757225325006,3.036927499124431,3.751489450041845,666105.2962301828
0.6,60.04464285714286,"[307, 154, 77]",0.070159,0.2676353454589844,0.9654991427230265,2.3240069986059098,2.8913624000779237,863317.5704368138
0.5,50.0,"[256, 128, 64]",0.050183,0.19143295288085938,0.9568187974030752,1.6628140001557767,2.455357500730315,1139300.588774775
0.4,39.955357142857146,"[205, 102, 51]",0.033535,0.12792587280273438,0.9593178929757253,1.2481715002650162,1.695069600282295,1550265.4655151146
0.3,30.02232142857143,"[154, 77, 38]",0.020408,0.077850341796875,0.9581249764324657,1.658095497987233,2.1622623498842586,1191638.2081296048
0.2,19.977678571428573,"[102, 51, 26]",0.010326,0.03939056396484375,0.9415646238621239,1.2136664990975987,1.6926547985349316,1745745.3144963423
0.1,10.044642857142858,"[51, 26, 13]",0.003663,0.013973236083984375,0.9200793850061558,0.5030030006309971,0.7328589519602247,3715443.04473207
